time, vel, T_target, T_estimate
1.514,15.777193,0.012000,0.012648
1.515,15.777193,0.012000,0.007639
1.516,15.777193,0.012000,0.009114
1.517,15.777193,0.012000,0.013199
1.518,15.777193,0.012000,0.011522
1.519,15.777193,0.012000,0.012044
1.520,15.777193,0.012000,0.010314
1.521,15.777193,0.012000,0.012783
1.522,15.777193,0.012000,0.015184
1.523,15.777193,0.012000,0.010404
1.524,15.777193,0.012000,0.009359
1.525,15.777193,0.012000,0.007973
1.526,15.777193,0.012000,0.007583
1.527,15.777193,0.012000,0.013105
1.528,15.777193,0.012000,0.013877
1.529,15.777193,0.012000,0.013563
1.530,15.777193,0.012000,0.010999
1.531,15.777193,0.012000,0.007360
1.532,15.777193,0.012000,0.011287
1.533,15.777193,0.012000,0.012989
1.534,15.777193,0.012000,0.011745
1.535,15.777193,0.012000,0.010656
1.536,15.777193,0.012000,0.009076
1.537,15.777193,0.012000,0.012677
1.538,15.777193,0.012000,0.014237
1.539,15.777193,0.012000,0.012417
1.540,15.777193,0.012000,0.011218
1.541,15.777193,0.012000,0.008924
1.542,15.777193,0.012000,0.010539
1.543,15.777193,0.012000,0.014016
1.544,15.777193,0.012000,0.012154
1.545,15.777193,0.012000,0.012191
1.546,15.777193,0.012000,0.009314
1.547,15.777193,0.012000,0.008473
1.548,15.777193,0.012000,0.012535
1.549,15.777193,0.012000,0.012160
1.550,15.777193,0.012000,0.012026
1.551,15.777193,0.012000,0.010704
1.552,15.777193,0.012000,0.010839
1.553,15.777193,0.012000,0.013663
1.554,15.777193,0.012000,0.012397
1.555,15.777193,0.012000,0.010875
1.556,15.777193,0.012000,0.009639
1.557,15.777193,0.012000,0.007560
1.558,15.777193,0.012000,0.011491
1.559,15.777193,0.012000,0.013496
1.560,15.777193,0.012000,0.013431
1.561,15.777193,0.012000,0.012067
1.562,15.777193,0.012000,0.007220
1.563,15.777193,0.012000,0.010332
1.564,15.777193,0.012000,0.012715
1.565,15.777193,0.012000,0.011563
1.566,15.777193,0.012000,0.011211
1.567,15.777193,0.012000,0.010556
1.568,15.777193,0.012000,0.016407
1.569,15.777193,0.012000,0.014153
1.570,15.777193,0.012000,0.009454
1.571,15.777193,0.012000,0.006924
1.572,15.777193,0.012000,0.007392
1.573,15.777193,0.012000,0.012186
1.574,15.777193,0.012000,0.015656
1.575,15.777193,0.012000,0.013556
1.576,15.777193,0.012000,0.012891
1.577,15.777193,0.012000,0.008889
1.578,15.777193,0.012000,0.009413
1.579,15.777193,0.012000,0.012460
1.580,15.777193,0.012000,0.011422
1.581,15.777193,0.012000,0.011598
1.582,15.777193,0.012000,0.009335
1.583,16.195528,0.012000,0.009335
1.584,16.195528,0.012000,0.014103
1.585,16.195528,0.012000,0.012742
1.586,16.195528,0.012000,0.013534
1.587,16.195528,0.012000,0.010936
1.588,16.302111,0.012000,0.010936
1.590,16.302111,0.012000,0.010936
1.591,16.302111,0.012000,0.010936
1.592,16.253616,0.012000,0.010936
1.593,16.253616,0.012000,0.010196
1.594,16.253616,0.012000,0.006592
1.595,16.253616,0.012000,0.011085
1.596,16.253616,0.012000,0.011085
1.597,16.306408,0.012000,0.011085
1.598,16.306408,0.012000,0.010682
1.599,16.306408,0.012000,0.011287
1.600,16.306408,0.012000,0.015448
1.601,16.306408,0.012000,0.013504
1.602,16.306408,0.012000,0.011477
1.603,16.306408,0.012000,0.010370
1.604,16.312677,0.012000,0.010370
1.605,16.312677,0.012000,0.010370
1.606,16.312677,0.012000,0.010370
1.607,16.312677,0.012000,0.010370
1.608,16.312677,0.012000,0.010979
1.609,16.312677,0.012000,0.010979
1.610,16.312677,0.012000,0.010979
1.611,16.312677,0.012000,0.010979
1.612,16.365469,0.012000,0.010979
1.613,16.365469,0.012000,0.010979
1.614,16.365469,0.012000,0.009535
1.615,16.365469,0.012000,0.009535
1.616,16.365469,0.012000,0.009535
1.617,16.420429,0.012000,0.009535
1.618,16.420429,0.012000,0.009535
